NAMESPACE         NAME                                                 DESIRED   CURRENT   READY   AGE
cert-manager      cert-manager-6c6cd69dc5                              1         1         1       5d8h
cert-manager      cert-manager-cainjector-75cbd9fd8d                   1         1         1       5d8h
cert-manager      cert-manager-webhook-6868c4c4fc                      1         1         1       5d8h
cnpg-system       barman-cloud-75bc6c6b85                              1         1         1       2d22h
cnpg-system       cloudnative-pg-5f84c49747                            1         1         1       2d22h
healthchecks      healthchecks-78b7fc78b5                              1         1         1       28h
healthchecks      healthchecks-78f6f4469b                              0         0         0       31h
healthchecks      healthchecks-7fdccf6db                               0         0         0       28h
healthchecks      healthchecks-97c9bd                                  0         0         0       31h
hindsight         hindsight-api-5f5cc77fd4                             0         0         0       23h
hindsight         hindsight-api-679bf688b5                             0         0         0       23h
hindsight         hindsight-api-7ff9fc4fbc                             1         1         1       23h
hindsight         hindsight-api-9b84966b9                              0         0         0       23h
hindsight         hindsight-ollama-58ffcbf46                           1         1         1       23h
hindsight         hindsight-ui-65b6876b6                               0         0         0       23h
hindsight         hindsight-ui-b9864ff96                               1         1         1       23h
hindsight         hindsight-worker-6c47998649                          0         0         0       23h
hindsight         hindsight-worker-75d748fbc6                          0         0         0       23h
hindsight         hindsight-worker-8bc58b44b                           1         1         1       23h
hindsight         hindsight-worker-9985465d4                           0         0         0       23h
kube-system       coredns-dbd8c85f7                                    1         1         1       7h56m
kube-system       local-path-provisioner-698b58967b                    1         1         1       8d
kube-system       metrics-server-8584b5786c                            1         1         1       8d
longhorn-system   csi-attacher-7b867479bb                              3         3         3       6d
longhorn-system   csi-provisioner-c674fb46c                            3         3         3       6d
longhorn-system   csi-resizer-f974c4789                                3         3         3       6d
longhorn-system   csi-snapshotter-56bf67bbf6                           3         3         3       6d
longhorn-system   longhorn-driver-deployer-74dc4fcb96                  1         1         1       6d
longhorn-system   longhorn-ui-58ddc85f44                               2         2         2       6d
matrix            matrix-matrix-stack-element-b74bb9b                  1         1         1       3h3m
matrix            matrix-matrix-stack-ketesa-76d48fb594                1         1         1       3h3m
moneymaker        dograh-api-94896d747                                 0         0         0       155m
moneymaker        dograh-api-d9bf7cb7                                  1         1         1       152m
moneymaker        dograh-redis-79bc4b5949                              1         1         1       155m
moneymaker        dograh-ui-6896b66848                                 1         1         1       155m
monitoring        blackbox-exporter-686597ffc9                         1         1         1       26h
monitoring        kube-prometheus-stack-grafana-5d84fb5bd4             1         1         1       2d14h
monitoring        kube-prometheus-stack-kube-state-metrics-cf6c57f8d   1         1         1       2d14h
monitoring        kube-prometheus-stack-operator-6f47b78bb             1         1         1       2d14h
n8n               n8n-5775569c8b                                       1         1         1       8h
n8n               n8n-6669bbf74f                                       0         0         0       8h
n8n               n8n-94b57c8c8                                        0         0         0       8h
n8n               n8n-main-5869fc7cff                                  0         0         0       5h1m
n8n               n8n-worker-6c74b9bfc7                                0         0         0       5h1m
portainer         portainer-5668695447                                 0         0         0       3d22h
portainer         portainer-5cb58c9877                                 0         0         0       7d22h
portainer         portainer-654cddfff8                                 0         0         0       4d23h
portainer         portainer-697b9645f7                                 0         0         0       7d23h
portainer         portainer-756cd88cdb                                 0         0         0       5d3h
portainer         portainer-7759cb5678                                 0         0         0       7d22h
portainer         portainer-78575c45dc                                 1         1         1       2d2h
portainer         portainer-7f5f47bc49                                 0         0         0       7d22h
portainer         portainer-7ff78b5886                                 0         0         0       7d22h
portainer         portainer-96f65c5bb                                  0         0         0       7d22h
velero            velero-76cf67c865                                    1         1         1       2d23h
